,38_SN812-Neurosphere-P6_zscore
0,1.0
1,1.0
2,-1.0
3,1.0
4,0.0
5,0.0
6,0.0
7,1.0
9,0.0
10,0.0
11,0.0
12,1.0
15,0.0
16,0.0
17,1.0
18,-1.0
20,0.0
21,0.0
24,0.0
27,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
35,1.0
36,1.0
37,0.0
41,1.0
42,1.0
43,1.0
44,1.0
45,1.0
46,1.0
47,1.0
48,1.0
54,0.0
60,1.0
61,1.0
64,1.0
66,0.0
67,0.0
72,1.0
73,1.0
74,1.0
75,0.0
77,1.0
78,1.0
79,1.0
80,1.0
81,1.0
83,1.0
86,1.0
87,0.0
88,0.0
89,0.0
91,1.0
93,0.0
94,0.0
103,0.0
104,1.0
107,1.0
112,1.0
121,0.0
123,0.0
126,0.0
128,1.0
130,0.0
133,0.0
146,0.0
147,0.0
149,0.0
152,1.0
153,0.0
154,1.0
159,1.0
160,1.0
168,0.0
169,1.0
173,1.0
174,0.0
